"occ","fg","rank"
"1",87.6712328767123,1,1
"2",84.4748858447489,0,2
"3",84.4748858447489,0,3
"4",81.7351598173516,1,4
"5",79.9086757990868,1,5
"6",76.2557077625571,1,6
"7",71.689497716895,0,7
"8",70.7762557077626,0,8
"9",70.3196347031963,0,9
"10",67.5799086757991,0,10
"11",66.6666666666667,1,11
"12",65.7534246575342,0,12
"13",64.8401826484018,0,13
"14",64.3835616438356,1,14
"15",61.6438356164384,1,15
"16",61.1872146118721,1,16
"17",60.2739726027397,1,17
"18",58.4474885844749,0,18
"19",57.9908675799087,0,19
"20",57.0776255707763,1,20
"21",56.62100456621,0,21
"22",56.1643835616438,1,22
"23",56.1643835616438,0,23
"24",55.2511415525114,1,24
"25",54.337899543379,0,25
"26",52.9680365296804,0,26
"27",52.5114155251142,0,27
"28",52.0547945205479,0,28
"29",50.2283105022831,0,29
"30",49.7716894977169,0,30
"31",49.3150684931507,1,31
"32",49.3150684931507,0,32
"33",48.8584474885845,0,33
"34",48.8584474885845,0,34
"35",47.945205479452,0,35
"36",47.4885844748858,0,36
"37",47.4885844748858,0,37
"38",47.0319634703196,0,38
"39",46.1187214611872,0,39
"40",46.1187214611872,0,40
"41",45.662100456621,0,41
"42",45.662100456621,0,42
"43",44.7488584474886,1,43
"44",44.7488584474886,0,44
"45",44.7488584474886,0,45
"46",44.2922374429224,0,46
"47",44.2922374429224,0,47
"48",42.9223744292237,1,48
"49",42.9223744292237,1,49
"50",42.9223744292237,0,50
"51",42.4657534246575,1,51
"52",42.0091324200913,0,52
"53",42.0091324200913,0,53
"54",41.5525114155251,1,54
"55",41.5525114155251,0,55
"56",41.0958904109589,0,56
"57",41.0958904109589,0,57
"58",40.6392694063927,1,58
"59",40.6392694063927,0,59
"60",40.6392694063927,0,60
"61",40.6392694063927,0,61
"62",40.1826484018265,0,62
"63",39.7260273972603,0,63
"64",39.7260273972603,0,64
"65",38.8127853881278,0,65
"66",38.3561643835616,1,66
"67",38.3561643835616,0,67
"68",37.8995433789954,0,68
"69",37.8995433789954,0,69
"70",37.4429223744292,0,70
"71",37.4429223744292,0,71
"72",36.986301369863,0,72
"73",36.986301369863,0,73
"74",36.5296803652968,0,74
"75",36.0730593607306,0,75
"76",35.6164383561644,1,76
"77",35.6164383561644,0,77
"78",35.1598173515982,0,78
"79",35.1598173515982,0,79
"80",34.2465753424658,0,80
"81",33.7899543378995,0,81
"82",33.3333333333333,0,82
"83",32.8767123287671,0,83
"84",32.8767123287671,0,84
"85",32.8767123287671,0,85
"86",32.4200913242009,0,86
"87",31.0502283105023,0,87
"88",31.0502283105023,0,88
"89",30.5936073059361,0,89
"90",29.6803652968037,1,90
"91",29.6803652968037,0,91
"92",29.6803652968037,0,92
"93",29.2237442922374,0,93
"94",27.8538812785388,0,94
"95",27.8538812785388,0,95
"96",27.3972602739726,1,96
"97",27.3972602739726,0,97
"98",26.9406392694064,0,98
"99",26.9406392694064,0,99
"100",26.4840182648402,0,100
"101",26.027397260274,0,101
"102",25.5707762557078,0,102
"103",25.5707762557078,0,103
"104",25.5707762557078,0,104
"105",25.1141552511416,0,105
"106",25.1141552511416,0,106
"107",24.6575342465753,1,107
"108",24.6575342465753,0,108
"109",24.6575342465753,0,109
"110",24.6575342465753,0,110
"111",24.6575342465753,0,111
"112",24.2009132420091,1,112
"113",24.2009132420091,0,113
"114",23.2876712328767,0,114
"115",23.2876712328767,0,115
"116",23.2876712328767,0,116
"117",22.8310502283105,1,117
"118",22.8310502283105,0,118
"119",22.8310502283105,0,119
"120",22.3744292237443,0,120
"121",22.3744292237443,0,121
"122",22.3744292237443,0,122
"123",22.3744292237443,0,123
"124",21.9178082191781,0,124
"125",21.9178082191781,0,125
"126",21.4611872146119,0,126
"127",21.4611872146119,0,127
"128",21.4611872146119,0,128
"129",21.4611872146119,0,129
"130",21.0045662100457,0,130
"131",21.0045662100457,0,131
"132",21.0045662100457,0,132
"133",21.0045662100457,0,133
"134",20.5479452054795,0,134
"135",20.0913242009132,1,135
"136",20.0913242009132,0,136
"137",20.0913242009132,0,137
"138",20.0913242009132,0,138
"139",20.0913242009132,0,139
"140",20.0913242009132,0,140
"141",20.0913242009132,0,141
"142",19.634703196347,0,142
"143",19.634703196347,0,143
"144",19.634703196347,0,144
"145",19.1780821917808,0,145
"146",19.1780821917808,0,146
"147",19.1780821917808,0,147
"148",18.7214611872146,0,148
"149",18.7214611872146,0,149
"150",18.7214611872146,0,150
"151",18.2648401826484,0,151
"152",18.2648401826484,0,152
"153",18.2648401826484,0,153
"154",18.2648401826484,0,154
"155",17.8082191780822,0,155
"156",17.8082191780822,0,156
"157",17.8082191780822,0,157
"158",17.8082191780822,0,158
"159",17.8082191780822,0,159
"160",17.8082191780822,0,160
"161",17.351598173516,0,161
"162",17.351598173516,0,162
"163",17.351598173516,0,163
"164",17.351598173516,0,164
"165",17.351598173516,0,165
"166",16.8949771689498,0,166
"167",16.8949771689498,0,167
"168",16.4383561643836,0,168
"169",16.4383561643836,0,169
"170",16.4383561643836,0,170
"171",16.4383561643836,0,171
"172",15.9817351598174,0,172
"173",15.9817351598174,0,173
"174",15.9817351598174,0,174
"175",15.9817351598174,0,175
"176",15.9817351598174,0,176
"177",15.9817351598174,0,177
"178",15.5251141552511,0,178
"179",15.5251141552511,0,179
"180",15.0684931506849,0,180
"181",15.0684931506849,0,181
"182",14.6118721461187,0,182
"183",14.6118721461187,0,183
"184",14.6118721461187,0,184
"185",14.1552511415525,1,185
"186",14.1552511415525,0,186
"187",13.6986301369863,0,187
"188",13.6986301369863,0,188
"189",13.2420091324201,1,189
"190",13.2420091324201,0,190
"191",13.2420091324201,0,191
"192",13.2420091324201,0,192
"193",12.7853881278539,0,193
"194",12.7853881278539,0,194
"195",12.7853881278539,0,195
"196",12.3287671232877,0,196
"197",12.3287671232877,0,197
"198",12.3287671232877,0,198
"199",12.3287671232877,0,199
"200",12.3287671232877,0,200
"201",11.8721461187215,0,201
"202",11.8721461187215,0,202
"203",11.8721461187215,0,203
"204",11.4155251141553,0,204
"205",11.4155251141553,0,205
"206",10.958904109589,0,206
"207",10.958904109589,0,207
"208",10.5022831050228,1,208
"209",10.5022831050228,1,209
"210",10.5022831050228,0,210
"211",10.5022831050228,0,211
"212",10.5022831050228,0,212
"213",10.0456621004566,0,213
"214",10.0456621004566,0,214
"215",10.0456621004566,0,215
"216",10.0456621004566,0,216
"217",10.0456621004566,0,217
"218",10.0456621004566,0,218
"219",9.58904109589041,0,219
"220",9.58904109589041,0,220
"221",9.58904109589041,0,221
"222",9.58904109589041,0,222
"223",9.1324200913242,0,223
"224",9.1324200913242,0,224
"225",9.1324200913242,0,225
"226",9.1324200913242,0,226
"227",9.1324200913242,0,227
"228",8.67579908675799,0,228
"229",8.67579908675799,0,229
"230",8.67579908675799,0,230
"231",8.67579908675799,0,231
"232",8.67579908675799,0,232
"233",8.21917808219178,1,233
"234",8.21917808219178,0,234
"235",8.21917808219178,0,235
"236",8.21917808219178,0,236
"237",8.21917808219178,0,237
"238",7.76255707762557,0,238
"239",7.76255707762557,0,239
"240",7.76255707762557,0,240
"241",7.76255707762557,0,241
"242",7.76255707762557,0,242
"243",7.76255707762557,0,243
"244",7.76255707762557,0,244
"245",7.76255707762557,0,245
"246",7.76255707762557,0,246
"247",7.76255707762557,0,247
"248",7.76255707762557,0,248
"249",7.76255707762557,0,249
"250",7.30593607305936,0,250
"251",7.30593607305936,0,251
"252",7.30593607305936,0,252
"253",7.30593607305936,0,253
"254",6.84931506849315,0,254
"255",6.84931506849315,0,255
"256",6.84931506849315,0,256
"257",6.84931506849315,0,257
"258",6.39269406392694,0,258
"259",6.39269406392694,0,259
"260",6.39269406392694,0,260
"261",6.39269406392694,0,261
"262",6.39269406392694,0,262
"263",6.39269406392694,0,263
"264",6.39269406392694,0,264
"265",5.93607305936073,0,265
"266",5.93607305936073,0,266
"267",5.93607305936073,0,267
"268",5.93607305936073,0,268
"269",5.93607305936073,0,269
"270",5.93607305936073,0,270
"271",5.93607305936073,0,271
"272",5.93607305936073,0,272
"273",5.93607305936073,0,273
"274",5.47945205479452,0,274
"275",5.47945205479452,0,275
"276",5.47945205479452,0,276
"277",5.02283105022831,0,277
"278",5.02283105022831,0,278
"279",5.02283105022831,0,279
"280",5.02283105022831,0,280
"281",5.02283105022831,0,281
"282",4.5662100456621,0,282
"283",4.5662100456621,0,283
"284",4.5662100456621,0,284
"285",4.5662100456621,0,285
"286",4.5662100456621,0,286
"287",4.5662100456621,0,287
"288",4.10958904109589,0,288
"289",3.65296803652968,0,289
"290",3.65296803652968,0,290
"291",3.65296803652968,0,291
"292",3.65296803652968,0,292
"293",3.65296803652968,0,293
"294",3.65296803652968,0,294
"295",3.65296803652968,0,295
"296",3.65296803652968,0,296
"297",3.19634703196347,0,297
"298",3.19634703196347,0,298
"299",3.19634703196347,0,299
"300",3.19634703196347,0,300
"301",3.19634703196347,0,301
"302",3.19634703196347,0,302
"303",2.73972602739726,0,303
"304",2.73972602739726,0,304
"305",2.73972602739726,0,305
"306",2.73972602739726,0,306
"307",2.73972602739726,0,307
"308",2.73972602739726,0,308
"309",2.73972602739726,0,309
"310",2.73972602739726,0,310
"311",2.28310502283105,0,311
"312",2.28310502283105,0,312
"313",2.28310502283105,0,313
"314",2.28310502283105,0,314
"315",2.28310502283105,0,315
"316",1.82648401826484,1,316
"317",1.82648401826484,1,317
"318",1.82648401826484,0,318
"319",1.82648401826484,0,319
"320",1.82648401826484,0,320
"321",1.82648401826484,0,321
"322",1.36986301369863,1,322
"323",1.36986301369863,0,323
"324",1.36986301369863,0,324
"325",1.36986301369863,0,325
"326",1.36986301369863,0,326
"327",1.36986301369863,0,327
"328",1.36986301369863,0,328
"329",1.36986301369863,0,329
"330",1.36986301369863,0,330
"331",0.91324200913242,1,331
"332",0.91324200913242,0,332
"333",0.91324200913242,0,333
"334",0.91324200913242,0,334
"335",0.91324200913242,0,335
"336",0.91324200913242,0,336
"337",0.91324200913242,0,337
"338",0.91324200913242,0,338
"339",0.91324200913242,0,339
"340",0.45662100456621,0,340
"341",0.45662100456621,0,341
"342",0.45662100456621,0,342
"343",0.45662100456621,0,343
"344",0.45662100456621,0,344
"345",0.45662100456621,0,345
"346",0.45662100456621,0,346
"347",0.45662100456621,0,347
"348",0.45662100456621,0,348
"349",0.45662100456621,0,349
"350",0.45662100456621,0,350
"351",0.45662100456621,0,351
"352",0.45662100456621,0,352
"353",0.45662100456621,0,353
"354",0.45662100456621,0,354
